epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6359.19,0.77751,0.62814,1.0849,0.92162,0.934,0.9396,0.73038,0.84535,0.52047,1.0869,0.000462281,0.000462281,0.000462281
43,6520.81,0.76324,0.60735,1.07885,0.92621,0.93731,0.95862,0.75372,0.82844,0.47394,1.07018,0.000438703,0.000438703,0.000438703
44,6677.38,0.77775,0.59985,1.08542,0.94484,0.93781,0.95691,0.7622,0.81535,0.46383,1.07156,0.000415124,0.000415124,0.000415124
45,6826.63,0.7556,0.5769,1.07227,0.95268,0.92343,0.95098,0.7517,0.82774,0.48564,1.07605,0.000391546,0.000391546,0.000391546
46,6977.24,0.74997,0.58921,1.0699,0.93925,0.93585,0.94902,0.74679,0.84203,0.48037,1.09038,0.000367967,0.000367967,0.000367967
47,7133.03,0.74295,0.57564,1.06781,0.95427,0.92479,0.95771,0.75436,0.82608,0.46932,1.07345,0.000344389,0.000344389,0.000344389
48,7285.21,0.7315,0.57199,1.0612,0.95005,0.93093,0.95593,0.75996,0.82054,0.47956,1.06926,0.00032081,0.00032081,0.00032081
49,7441.31,0.73269,0.56146,1.0617,0.94588,0.93456,0.96104,0.75858,0.8184,0.44704,1.06775,0.000297232,0.000297232,0.000297232
50,7594.45,0.73098,0.56259,1.0571,0.93618,0.92165,0.94902,0.75416,0.83062,0.48278,1.08264,0.000273654,0.000273654,0.000273654
51,7742.72,0.59463,0.35031,0.98727,0.94157,0.91723,0.95522,0.75241,0.81948,0.46964,1.07513,0.000250075,0.000250075,0.000250075
52,7910.56,0.5825,0.3357,0.97509,0.94476,0.93969,0.95617,0.75655,0.82293,0.45117,1.07231,0.000226497,0.000226497,0.000226497
53,8082.75,0.56595,0.32031,0.97021,0.95749,0.92696,0.96088,0.75631,0.81808,0.45953,1.07255,0.000202918,0.000202918,0.000202918
54,8239.37,0.56096,0.31741,0.96487,0.94354,0.92047,0.95863,0.75818,0.82733,0.46342,1.08945,0.00017934,0.00017934,0.00017934
55,8402.56,0.54923,0.31115,0.95851,0.93859,0.92329,0.95404,0.75673,0.81969,0.4558,1.08623,0.000155761,0.000155761,0.000155761
56,8568.23,0.54235,0.30729,0.95574,0.93765,0.94305,0.95873,0.75892,0.82181,0.44586,1.08941,0.000132183,0.000132183,0.000132183
57,8729.85,0.52749,0.30129,0.94779,0.95348,0.92575,0.96217,0.76107,0.8153,0.44766,1.08667,0.000108604,0.000108604,0.000108604
58,8892.67,0.51604,0.29271,0.94272,0.93734,0.94519,0.95798,0.75712,0.82267,0.4462,1.09331,8.50255e-05,8.50255e-05,8.50255e-05
59,9053.1,0.50498,0.28396,0.9348,0.96212,0.91673,0.96014,0.756,0.82794,0.45354,1.09719,6.1447e-05,6.1447e-05,6.1447e-05
60,9214.96,0.50255,0.28345,0.93468,0.96716,0.91918,0.96482,0.76114,0.82367,0.44268,1.09317,3.78685e-05,3.78685e-05,3.78685e-05
